year,edition,year_formatUS,to_country,performer,sex or gender,performer_type,song,place_contest,langue,nbVictoire
1957,Eurovision Song Contest 1957,1957-01-01,Netherlands,Corry Brokken,female,solo,Net Als Toen,1,nl,5
1958,Eurovision Song Contest 1958,1958-01-01,France,André Claveau,male,solo,Dors Mon Amour,1,fr,5
1959,Eurovision Song Contest 1959,1959-01-01,Netherlands,Teddy Scholten,female,solo,Een Beetje,1,nl,5
1960,Eurovision Song Contest 1960,1960-01-01,France,Jacqueline Boyer,female,solo,Tom Pillibi,1,fr,5
1961,Eurovision Song Contest 1961,1961-01-01,Luxembourg,Jean-Claude Pascal,male,solo,Nous Les Amoureux,1,fr,5
1962,Eurovision Song Contest 1962,1962-01-01,France,Isabelle Aubret,female,solo,Un Premier Amour,1,fr,5
1963,Eurovision Song Contest 1963,1963-01-01,Denmark,Grethe & Jørgen Ingmann,non applicable,groupe,Dansevise,1,da,3
1964,Eurovision Song Contest 1964,1964-01-01,Italy,Gigliola Cinquetti,female,solo,Non Ho L'étà,1,it,3
1965,Eurovision Song Contest 1965,1965-01-01,Luxembourg,France Gall,female,solo,"Poupée De Cire, Poupée De Son",1,fr,5
1966,Eurovision Song Contest 1966,1966-01-01,Austria,Udo Jürgens,male,solo,Merci Chérie,1,de,2
1967,Eurovision Song Contest 1967,1967-01-01,United Kingdom,Sandie Shaw,female,solo,Puppet On A String,1,en,5
1968,Eurovision Song Contest 1968,1968-01-01,Spain,Massiel,female,solo,"La, La, La...",1,es,2
1969,Eurovision Song Contest 1969,1969-01-01,Spain,Salomé,female,solo,Vivo Cantando,1,es,2
1969,Eurovision Song Contest 1969,1969-01-01,United Kingdom,Lulu,female,solo,Boom Bang-a-bang,1,en,5
1969,Eurovision Song Contest 1969,1969-01-01,Netherlands,Lenny Kuhr,female,solo,De Troubadour,1,nl,5
1969,Eurovision Song Contest 1969,1969-01-01,France,Frida Boccara,female,solo,"Un Jour, Un Enfant",1,fr,5
1970,Eurovision Song Contest 1970,1970-01-01,Ireland,Dana,female,solo,All Kinds Of Everything,1,en,7
1971,Eurovision Song Contest 1971,1971-01-01,Monaco,Séverine,female,solo,"Un Banc, Un Arbre, Une Rue",1,fr,1
1972,Eurovision Song Contest 1972,1972-01-01,Luxembourg,Vicky Leandros,female,solo,Après Toi,1,fr,5
1973,Eurovision Song Contest 1973,1973-01-01,Luxembourg,Anne-Marie David,female,solo,Tu Te Reconnaîtras,1,fr,5
